Timestamp,What is your name?,Jon Snow,Sansa Stark,Arya Stark,Bran Stark,Cersei Lannister,Jaime Lannister,Tyrion Lanniester,Daenerys Targaryen,Yara Greyjoy,Theon Greyjoy,Melisandre,Jorah Mormont,The Hound,The Mountain,Samwell Tarley,Gilly,Sam (Child),Lord Varys,Brienne of Tarth,Davos Seaworth,Bronn,Podrick Payne,Tormund Giantsbane,Qyburn,Grey Worm,Gendry,Beric Dondarrion,Euron Geryjoy,Daario,Dolorous Edd,Missandei,Ghost,Nymeria,Is Daenerys pregnant (or will be at some point in the season)? (1 point),Who Kills the Night King? (2 points),Who holds the Iron Throne at the end? (4 points)
2019/04/07 6:20:58 PM MDT,Matty,Dies,Lives,Lives,Lives,Dies,Dies,Lives,Dies,Dies,Lives,Dies,Dies;Becomes a Wight,Dies,Dies;Becomes a Wight,Lives,Lives,Lives,Lives,Lives,Dies,Dies,Lives,Dies,Dies,Dies,Lives,Dies,Dies,Dies,Dies,Dies,Dies,Dies,Yes,No one,No one
2019/04/14 3:44:14 PM MDT,Andrew Stefan,Lives,Dies,Lives,Dies,Dies,Lives,Lives,Lives,Dies,Dies,Becomes a Wight,Dies,Dies,Becomes a Wight,Lives,Lives,Lives,Dies,Lives,Lives,Dies,Lives,Dies,Dies,Dies,Lives,Dies,Dies,Dies,Dies,Dies,Lives,Dies,Yes,Podrick Payne,Hot Pie
2019/04/14 6:34:54 PM MDT,Grant,Lives,Dies,Lives,Lives,Dies,Dies,Lives,Lives,Dies,Lives,Dies,Lives,Lives,Dies,Lives,Dies,Lives,Lives,Lives,Dies,Lives,Lives,Dies,Lives,Dies,Lives,Lives,Dies,Lives,Lives,Lives,Dies,Lives,Yes,Jon Snow,Daenerys
2019/04/14 6:43:01 PM MDT,Matt Torrez,Lives,Lives,Dies;Becomes a Wight,Lives,Dies,Dies;Becomes a Wight,Lives,Lives,Lives,Dies,Lives,Lives,Dies;Becomes a Wight,Dies,Lives,Lives,Lives,Lives,Lives,Lives,Dies,Lives,Lives,Dies,Dies;Becomes a Wight,Lives,Lives,Dies,Lives,Dies,Lives,Dies,Lives,No,Sam sr,John snow
